"Story","Title","Result","Date","Stability","Duration (s)"
"User","POST - As a admin I can login","SUCCESS","2023-06-16T11:45:07.953+07:00[Asia/Bangkok]","0.0","8.66"
"User","GET ALL - As admin I can get all data details cashier","SUCCESS","2023-06-16T11:45:16.701+07:00[Asia/Bangkok]","0.0","0.97"
"User","GET - As admin I can get search data details cashier","SUCCESS","2023-06-16T11:45:17.722+07:00[Asia/Bangkok]","0.0","0.55"
"User","POST - As admin I can add new cashier data","SUCCESS","2023-06-16T11:45:18.388+07:00[Asia/Bangkok]","0.0","0.53"
"User","PUT - As admin I can update cashier data by id","SUCCESS","2023-06-16T11:45:18.965+07:00[Asia/Bangkok]","0.0","0.48"
"User","DELETE - As admin I can delete cashier data by id","SUCCESS","2023-06-16T11:45:19.478+07:00[Asia/Bangkok]","0.0","0.38"
"Order","GET ALL - As admin I can get all data details order","SUCCESS","2023-06-16T11:45:20.086+07:00[Asia/Bangkok]","0.0","0.32"
