"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET ALL - As admin I can get all data details cashier","SUCCESS","2023-06-16T11:45:16.701+07:00[Asia/Bangkok]","0.0","0.97"
"Order","GET ALL - As admin I can get all data details order","SUCCESS","2023-06-16T11:45:20.086+07:00[Asia/Bangkok]","0.0","0.32"
